Location,Species,Date of collection ,Date of dissection ,Dissected,,,,,,Not dissected
,,,,0 cycle ,1 cycle,2 cycles,3 cycles,4 cycles,Oocytes under development,
Sululu - Tanzania,Anopheles arabiensis,18/06/2021,20/06/2021,3,11,0,0,0,0,14
Sululu - Tanzania,Anopheles arabiensis,22/06/2021,24/06/2021,8,18,0,0,0,2,28
Sululu - Tanzania,Anopheles arabiensis,29/06/2021,01/07/2021,10,16,0,0,0,0,26
Sululu - Tanzania,Anopheles arabiensis,02/07/2021,04/07/2021,13,13,0,0,0,1,27
Sululu - Tanzania,Anopheles arabiensis,06/07/2021,08/07/2021,5,12,0,0,0,0,17
Sululu - Tanzania,Anopheles arabiensis,13/07/2021,15/07/2021,3,7,0,0,0,0,10
Sululu - Tanzania,Anopheles arabiensis,16/07/2021,18/07/2021,3,15,2,0,0,0,20
Sululu - Tanzania,Anopheles arabiensis,20/07/2021,22/07/2021,4,2,0,0,0,3,9
Sululu - Tanzania,Anopheles arabiensis,23/07/2021,25/07/2021,3,9,0,0,0,4,16
Sululu - Tanzania,Anopheles arabiensis,30/07/2021,01/08/2021,1,7,0,0,0,0,8
Sululu - Tanzania,Anopheles arabiensis,03/08/2021,05/08/2021,1,2,0,0,0,2,5
Sululu - Tanzania,Anopheles arabiensis,06/08/2021,08/08/2021,2,6,0,0,0,0,8
Sululu - Tanzania,Anopheles arabiensis,10/08/2021,12/08/2021,8,8,0,0,0,0,16
Sululu - Tanzania,Anopheles arabiensis,13/08/2021,15/08/2021,1,12,0,0,0,4,17
Sululu - Tanzania,Anopheles arabiensis,17/08/2021,19/08/2021,3,14,0,0,0,1,18
Sululu - Tanzania,Anopheles arabiensis,24/08/2021,26/08/2021,4,10,0,0,0,4,18
Sululu - Tanzania,Anopheles arabiensis,31/08/2021,02/09/2021,6,4,0,0,0,2,12
Total Sululu,Anopheles arabiensis,-,-,288,752,19,3,0,108,1170
